Countries,Label,Overall,Security,Political,Government,Legal,Macro,Trade,Financial,Tax,Labor,Infrastructure
Greece,3,43,36,35,57,40,65,43,38,38,46,38
Jordan,3,43,36,70,64,45,20,39,29,31,50,50
Peru,3,43,54,45,61,58,10,14,38,44,57,53
Uruguay,3,43,21,25,39,43,60,32,63,50,57,41
Trinidad,3,42,43,40,61,43,30,36,38,38,50,47
SouthAfrica,3,41,50,35,43,38,45,36,25,31,68,38
Suriname,3,41,21,40,61,48,20,25,67,31,50,50
Kuwait,3,40,14,60,68,53,20,21,29,31,57,44
Seychelles,3,40,18,25,46,50,40,61,63,25,50,22
Bahrain,2,39,32,70,57,50,20,25,38,6,54,38
CaboVerde,2,39,29,25,39,38,30,57,38,31,46,53
Croatia,2,39,25,40,54,45,40,39,42,31,39,38
Georgia,2,39,39,45,43,40,40,25,50,25,32,47
SaudiArabia,2,39,29,55,75,50,15,18,25,31,61,31
Bulgaria,2,38,29,40,61,43,35,29,42,19,46,41
Italy,2,37,21,35,54,38,70,18,25,38,39,34
Namibia,2,37,25,35,50,43,35,21,33,38,54,38
Romania,2,37,21,30,61,45,35,18,42,31,46,38
Panama,2,36,29,40,54,45,15,21,29,31,54,41
Bahamas,2,35,25,20,36,45,20,54,38,38,36,38
Cyprus,2,35,14,30,32,30,60,46,50,13,39,34
Oman,2,35,18,60,61,45,10,11,46,13,50,34
CostaRica,2,34,18,15,39,33,60,21,46,25,32,50
PuertoRico,2,33,32,25,46,23,40,25,21,44,43,31
SouthKorea,2,33,29,40,50,35,25,25,38,25,39,22
Botswana,2,32,18,30,43,40,25,21,46,25,36,38
Hungary,2,32,14,25,39,28,50,29,42,38,32,28
UAE,2,32,14,45,57,53,15,14,38,13,46,28
Brunei,2,31,11,45,43,43,20,21,50,13,39,28
Israel,2,31,43,40,39,25,35,25,21,25,32,22
CzechRep,2,30,11,30,46,23,30,29,38,25,36,31
Latvia,2,30,18,35,39,23,20,36,46,25,25,34
Malaysia,2,30,32,35,46,40,10,21,17,25,50,28
Portugal,2,30,11,30,39,28,40,32,29,31,39,22
Slovakia,2,30,14,30,39,28,35,25,42,25,29,38
Barbados,2,29,11,20,25,35,40,54,33,25,29,22
Mauritius,2,29,18,25,39,33,25,18,29,19,46,34
Lithuania,2,28,14,35,36,25,20,29,38,19,36,34
Poland,2,28,14,25,43,35,35,18,25,19,36,34
Qatar,2,28,7,40,46,40,15,11,29,19,43,25
FrenchGuiana,2,27,25,25,25,15,45,4,21,25,46,38
Ireland,2,27,21,20,32,8,50,21,42,25,21,25
Belgium,2,26,21,25,29,18,55,18,21,25,32,16
Estonia,2,26,18,35,29,15,25,21,29,31,29,25
Slovenia,2,26,11,20,36,28,45,21,38,13,36,19
Spain,2,26,18,25,29,25,55,25,17,25,32,13
CaymanIslands,2,25,21,20,32,25,25,29,25,13,32,25
Iceland,2,25,0,20,21,20,35,39,42,25,43,9
Malta,2,25,7,30,32,23,30,29,25,25,32,25
France,2,24,25,30,25,18,45,18,13,31,36,0
Macau,2,24,32,35,46,25,10,4,8,13,39,25
UK,2,23,25,30,29,10,45,18,17,6,29,22
Japan,2,22,7,10,25,25,40,25,13,38,25,16
Taiwan,2,21,14,30,25,25,15,18,21,19,32,16
Chile,2,20,21,20,21,15,15,4,13,19,36,34
Germany,2,20,18,15,21,18,40,11,21,19,29,6
USA,2,20,18,10,29,10,25,21,13,38,18,16
Greenland,1,18,4,15,32,10,25,7,8,6,43,25
Jersey,1,18,7,15,21,15,40,14,17,13,21,13
Netherlands,1,18,11,20,14,10,50,21,13,6,29,3
Finland,1,16,4,25,14,10,30,11,13,13,25,16
Sweden,1,16,7,15,14,8,35,14,8,31,25,3
Aruba,1,15,11,15,29,15,20,4,13,6,21,22
Canada,1,15,14,5,18,13,30,11,8,13,25,13
Denmark,1,15,11,15,21,13,35,7,13,6,25,9
Luxembourg,1,15,14,15,14,13,15,7,13,13,39,9
NewZealand,1,15,7,10,7,8,30,11,21,6,36,13
Norway,1,15,4,0,7,13,35,21,13,13,32,9
Austria,1,14,4,10,21,10,40,7,8,19,21,3
Australia,1,13,14,10,11,8,20,7,8,13,29,13
HongKong,1,13,14,35,21,18,10,7,4,0,21,3
Singapore,1,12,7,20,7,8,35,4,4,6,29,0
Liechtenstein,1,10,4,10,14,13,35,7,8,6,4,3
Switzerland,1,9,4,10,11,8,35,7,0,6,14,0
