80 *A Disaggregate_First,.EXCEL_FIRST,M193RWGT@WDI,M122RWGT@WDI,M124RWGT@WDI,M156RWGT@WDI,M228RWGT@WDI,M935RWGT@WDI,M128RWGT@WDI,M939RWGT@WDI,M172RWGT@WDI,M132RWGT@WDI,M134RWGT@WDI,M174RWGT@WDI,M944RWGT@WDI,M178RWGT@WDI,M436RWGT@WDI,M136RWGT@WDI,M158RWGT@WDI,M542RWGT@WDI,M137RWGT@WDI,M273RWGT@WDI,M138RWGT@WDI,M196RWGT@WDI,M142RWGT@WDI,M964RWGT@WDI,M182RWGT@WDI,M936RWGT@WDI,M961RWGT@WDI,M184RWGT@WDI,M144RWGT@WDI,M146RWGT@WDI,M186RWGT@WDI,M112RWGT@WDI,M111RWGT@WDI,M223RWGT@WDI,M922RWGT@WDI,M534RWGT@WDI,M924RWGT@WDI,M536RWGT@WDI,M564RWGT@WDI,M578RWGT@WDI,M199RWGT@WDI,M694RWGT@WDI,M566RWGT@WDI,M548RWGT@WDI,M213RWGT@WDI,M926RWGT@WDI,M001RWGT@WDI,M009RWGT@WDI,M997RWGT@WDI,M025RWGT@WDI,MALSRWGT@WDI,M506RWGT@WDI,MEASRWGT@WDI,MECSRWGT@WDI,MMEARWGT@WDI,
91,91," 22,869 "," 12,322 "," 9,332 "," 135,181 "," 1,369 ",#N/A," 1,858 "," 6,545 "," 7,634 "," 50,632 ",#N/A, 606 ," 11,665 ", 603 ," 1,092 "," 19,963 "," 26,791 "," 14,369 ",#N/A," 32,698 "," 3,038 "," 2,364 ",#N/A," 65,100 "," 1,660 ",#N/A," 3,216 "," 10,022 "," 17,980 "," 7,940 "," 7,977 "," 17,274 "," 1,534,643 ",#N/A," 2,325,881 "," 250,238 "," 1,094,807 "," 3,465 "," 5,962 "," 3,365 "," 85,569 ", 213 , 5 ," 1,262 "," 7,860 "," 402,286 "," 3,238 "," 834,912 "," 9,677 "," 7,634 ",#N/A," 3,340 "," 3,013 "," 9,881 "," 1,813 ",
92,92," 24,719 "," 12,207 "," 9,435 "," 134,730 "," 1,372 ",#N/A," 1,890 "," 3,646 "," 7,848 "," 49,536 ",#N/A, 564 ," 8,690 ", 633 ," 1,098 "," 21,962 "," 26,219 "," 14,256 ",#N/A," 34,197 "," 2,764 "," 2,475 ",#N/A," 57,700 "," 1,867 ",#N/A," 2,574 "," 9,450 "," 19,202 "," 7,513 "," 8,242 "," 15,509 "," 1,576,007 ",#N/A," 1,967,100 "," 252,388 "," 1,154,851 "," 3,779 "," 6,180 "," 3,075 "," 89,248 ", 184 , 3 ,#N/A,#N/A," 337,760 "," 2,868 "," 855,369 "," 9,063 "," 7,848 ",#N/A," 3,411 "," 3,075 "," 8,242 "," 1,999 ",
93,93," 24,614 "," 12,334 "," 8,599 "," 135,828 "," 1,265 "," 25,272 "," 1,668 "," 3,822 "," 9,259 "," 45,555 ",#N/A, 524 ," 7,659 ", 575 ," 1,072 "," 20,226 "," 25,075 "," 14,658 ",#N/A," 35,672 "," 2,681 "," 2,500 ",#N/A," 64,320 "," 1,811 "," 13,916 "," 2,262 "," 8,895 "," 18,775 "," 7,190 "," 8,410 "," 13,765 "," 1,636,992 "," 124,738 "," 1,615,131 "," 252,411 "," 1,192,340 "," 3,956 "," 5,939 "," 3,059 "," 91,359 ", 95 , 7 ,#N/A,#N/A," 246,356 "," 2,903 "," 886,410 "," 9,077 "," 8,747 ",#N/A," 3,290 "," 3,059 "," 8,410 "," 1,993 ",
94,94," 25,175 "," 13,049 "," 9,285 "," 148,501 "," 1,105 "," 22,823 "," 2,008 "," 3,377 "," 9,949 "," 48,750 "," 70,554 ", 324 ," 7,442 ", 569 ," 1,089 "," 20,473 "," 24,100 "," 14,070 ",#N/A," 37,314 "," 2,830 "," 2,835 ",#N/A," 65,800 "," 1,635 "," 12,334 "," 2,448 "," 8,582 "," 18,591 "," 7,926 "," 8,215 "," 12,292 "," 1,757,363 "," 133,689 "," 1,195,473 "," 249,564 "," 1,246,140 "," 3,820 "," 5,661 "," 3,072 "," 93,487 ", 95 , 5 ," 1,463 ",#N/A," 200,423 "," 2,833 "," 952,932 "," 9,285 "," 9,285 ",#N/A," 3,210 "," 3,072 "," 8,106 "," 2,210 ",
95,95," 26,604 "," 13,714 "," 8,407 "," 140,270 ", 967 ," 22,634 "," 1,926 "," 3,610 "," 9,559 "," 48,136 "," 69,442 ", 306 ," 8,132 ", 602 ," 1,176 "," 21,720 "," 24,747 "," 13,838 ",#N/A," 37,613 "," 3,097 "," 3,202 ",#N/A," 69,100 "," 2,020 "," 13,763 "," 3,076 "," 10,011 "," 18,840 "," 8,096 "," 8,516 "," 12,537 "," 1,911,023 "," 136,437 "," 1,214,000 "," 270,489 "," 1,287,420 "," 4,170 "," 5,077 "," 3,242 "," 96,559 ",#N/A, 6 ," 1,416 ",#N/A," 195,762 "," 3,097 "," 1,025,647 "," 9,559 "," 9,559 ",#N/A," 2,883 "," 3,242 "," 8,462 "," 1,946 ",
96,96," 26,368 "," 13,909 "," 8,454 "," 146,799 ", 931 ," 22,310 "," 1,757 "," 3,901 "," 8,806 "," 49,506 "," 67,680 ", 337 ," 7,409 ", 570 ," 1,152 "," 21,299 "," 24,635 "," 12,947 ",#N/A," 41,957 "," 3,123 "," 3,260 ",#N/A," 68,300 "," 1,859 "," 11,933 "," 2,551 "," 9,735 "," 18,840 "," 7,323 "," 9,018 "," 13,300 "," 1,979,835 "," 128,976 "," 1,131,251 "," 277,567 "," 1,292,200 "," 4,730 "," 5,077 "," 3,365 "," 99,687 ",#N/A, 1 ," 1,574 ",#N/A," 163,364 "," 2,959 "," 1,063,317 "," 8,806 "," 8,806 ",#N/A," 2,930 "," 3,313 "," 8,103 ",#N/A,
97,97," 28,408 "," 13,922 "," 8,700 "," 160,852 ",#N/A," 20,732 "," 1,619 "," 4,769 "," 9,856 "," 53,855 "," 72,614 ", 331 ," 7,873 ", 522 , 990 ," 22,903 "," 24,339 "," 12,711 ",#N/A," 42,442 "," 3,406 "," 3,505 ",#N/A," 68,632 "," 2,246 "," 12,425 "," 2,621 "," 10,958 "," 19,120 "," 8,108 "," 9,716 "," 16,900 "," 1,971,128 "," 137,200 "," 1,096,000 "," 284,249 "," 1,304,600 "," 4,980 "," 4,607 "," 3,483 "," 104,632 ", 480 , 1 ," 1,338 ",#N/A," 160,433 "," 3,445 "," 1,065,990 "," 9,856 "," 9,856 ",#N/A," 2,705 "," 3,494 "," 8,661 "," 2,023 ",
98,98," 30,119 "," 14,487 "," 8,764 "," 154,057 ",#N/A," 18,286 "," 1,575 "," 5,751 "," 9,885 "," 53,967 "," 73,273 ", 322 ," 7,852 ", 388 ," 1,050 "," 22,386 "," 22,681 "," 12,736 ",#N/A," 46,873 "," 3,778 "," 3,547 ",#N/A," 61,747 "," 2,048 "," 11,753 "," 2,633 "," 11,214 "," 19,024 "," 8,680 "," 8,466 "," 17,340 "," 2,011,862 "," 141,515 "," 1,006,000 "," 281,513 "," 1,163,000 "," 4,960 "," 4,447 "," 2,921 "," 102,287 ",#N/A, 1 ,#N/A,#N/A," 158,693 "," 3,975 "," 1,082,960 "," 9,885 "," 9,885 ",#N/A," 2,672 "," 3,547 "," 8,466 "," 2,174 ",
99,99," 31,605 "," 14,733 "," 8,468 ",#N/A,#N/A," 16,456 "," 1,938 "," 6,994 "," 9,753 "," 52,110 "," 71,494 ", 326 ," 7,444 ", 466 ," 1,128 "," 21,549 "," 22,321 ",#N/A,#N/A,#N/A," 3,549 "," 3,671 ",#N/A," 55,460 "," 2,179 "," 9,862 "," 2,571 "," 11,423 "," 18,910 "," 9,468 "," 8,237 "," 18,230 "," 2,094,656 "," 138,872 "," 1,204,547 "," 301,516 "," 1,257,789 ",#N/A," 3,970 "," 3,016 "," 102,800 ", 54 ,#N/A, 907 ,#N/A," 156,336 "," 3,338 "," 2,094,656 "," 9,753 "," 9,753 ",#N/A," 2,374 ",#N/A," 8,353 "," 2,033 ",
00,00," 34,050 "," 16,311 "," 8,734 ",#N/A," 3,135 "," 17,220 "," 2,087 "," 7,829 "," 10,107 "," 55,448 "," 80,634 ", 326 ," 7,460 ", 491 ," 1,173 "," 22,834 "," 22,313 "," 10,803 ",#N/A,#N/A," 3,819 "," 4,078 ",#N/A," 55,562 "," 2,183 "," 11,234 "," 2,596 "," 12,042 "," 19,084 "," 10,658 "," 9,761 "," 18,090 "," 2,142,145 "," 153,863 "," 1,373,200 "," 305,201 "," 1,333,606 ",#N/A," 3,754 "," 3,384 "," 106,605 ",#N/A,#N/A, 907 ,#N/A," 172,840 "," 3,754 "," 2,142,145 "," 10,107 "," 10,107 ",#N/A," 2,266 "," 4,185 "," 9,340 "," 1,980 ",
